Parameter,SNR,Value,Error
alpha,inf,0.0,-8.651996195326982
alpha,inf,0.0320570678937734,-8.32058597910348
alpha,inf,0.0641141357875468,-9.036747291989704
alpha,inf,0.0961712036813202,-8.59379465040569
alpha,inf,0.1282282715750936,-8.880408819457712
alpha,inf,0.16028533946886703,-9.122295551792
alpha,inf,0.1923424073626404,-9.697248214472417
alpha,inf,0.2243994752564138,-9.963686881973455
alpha,inf,0.2564565431501872,-20.80639911979317
alpha,inf,0.2885136110439606,-22.58535978179566
alpha,inf,0.32057067893773405,-24.546620576743866
alpha,inf,0.3526277468315074,-26.737589927709475
alpha,inf,0.3846848147252808,-29.072300650830545
alpha,inf,0.4167418826190542,-31.500960852928284
alpha,inf,0.4487989505128276,-33.90621372583934
alpha,inf,0.48085601840660097,-36.56150381974523
alpha,inf,0.5129130863003744,-38.98033426456517
alpha,inf,0.5449701541941478,-40.762620797511204
alpha,inf,0.5770272220879212,-18.604691782800558
alpha,inf,0.6090842899816946,-19.554398365602584
alpha,inf,0.6411413578754681,-20.753461388082638
alpha,inf,0.6731984257692414,-21.73275229544226
alpha,inf,0.7052554936630148,-22.81305277495077
alpha,inf,0.7373125615567883,-23.917560836023707
alpha,inf,0.7693696294505616,-24.923648581918417
alpha,inf,0.801426697344335,-26.195773066042356
alpha,inf,0.8334837652381084,-27.056875622397243
alpha,inf,0.8655408331318818,-28.442470066745052
alpha,inf,0.8975979010256552,-29.185025354326676
alpha,inf,0.9296549689194287,-30.34318589787235
alpha,inf,0.9617120368132019,-31.391385175259074
alpha,inf,0.9937691047069754,-32.433708751071464
alpha,inf,1.0258261726007487,-33.41627163032361
alpha,inf,1.0578832404945222,-34.35966710517599
alpha,inf,1.0899403083882957,-35.1534666061701
alpha,inf,1.1219973762820692,-36.153773555338894
alpha,inf,1.1540544441758425,-36.76316286440183
alpha,inf,1.1861115120696157,-0.08217488861584493
alpha,inf,1.2181685799633892,-0.16083509525029877
alpha,inf,1.2502256478571625,-0.13115788068326917
alpha,inf,1.2822827157509362,-0.16812492653818512
alpha,inf,1.3143397836447095,-0.2761087523941823
alpha,inf,1.3463968515384828,-0.14907541755032963
