Parameter,SNR,Value,Error
alpha,inf,0.0,-8.08848315020854
alpha,inf,0.0320570678937734,-8.341686315996819
alpha,inf,0.0641141357875468,-9.024793915816275
alpha,inf,0.0961712036813202,-9.849764695250077
alpha,inf,0.1282282715750936,-10.652749280223757
alpha,inf,0.16028533946886703,-11.361455230885706
alpha,inf,0.1923424073626404,-12.06471143467787
alpha,inf,0.2243994752564138,-0.32094698073303896
alpha,inf,0.2564565431501872,-0.34674029778976323
alpha,inf,0.2885136110439606,-0.057964758884820194
alpha,inf,0.32057067893773405,-0.884685726511552
alpha,inf,0.3526277468315074,-0.30379107536187067
alpha,inf,0.3846848147252808,-0.06600446522007572
alpha,inf,0.4167418826190542,-0.024576798258058724
alpha,inf,0.4487989505128276,0.04634492951649874
alpha,inf,0.48085601840660097,-0.017336351739016126
alpha,inf,0.5129130863003744,-0.11972850066589019
alpha,inf,0.5449701541941478,-0.06881456141033179
alpha,inf,0.5770272220879212,-0.02884890962649017
alpha,inf,0.6090842899816946,-0.024626092533404365
alpha,inf,0.6411413578754681,-0.08525039573744134
alpha,inf,0.6731984257692414,-0.007651523054250098
alpha,inf,0.7052554936630148,-0.021956274659697822
alpha,inf,0.7373125615567883,-0.009088862610567155
alpha,inf,0.7693696294505616,-0.0047806652655850435
alpha,inf,0.801426697344335,-0.016833233854197244
alpha,inf,0.8334837652381084,-0.01895682087171488
alpha,inf,0.8655408331318818,-0.014695674731869668
alpha,inf,0.8975979010256552,-0.03772910795543996
alpha,inf,0.9296549689194287,-0.030316504744838657
alpha,inf,0.9617120368132019,0.013428293623839876
alpha,inf,0.9937691047069754,-0.01801955170939798
alpha,inf,1.0258261726007487,-0.007889697317166322
alpha,inf,1.0578832404945222,-0.02915555290149835
alpha,inf,1.0899403083882957,0.01629665640467612
alpha,inf,1.1219973762820692,-0.02782713602890105
alpha,inf,1.1540544441758425,-0.10309180178707036
alpha,inf,1.1861115120696157,-0.06790528216333094
alpha,inf,1.2181685799633892,0.03967473037137792
alpha,inf,1.2502256478571625,-0.05385700217845624
alpha,inf,1.2822827157509362,-0.0705049169055609
alpha,inf,1.3143397836447095,-0.07824753675837043
alpha,inf,1.3463968515384828,-0.055025245343041235
alpha,inf,1.3784539194322563,-0.08493780093142902
alpha,inf,1.4105109873260295,-0.07410128011677009
alpha,inf,1.442568055219803,-0.09520128055034299
alpha,inf,1.4746251231135765,-0.1550140719984612
alpha,inf,1.5066821910073498,-0.07809440332703574
alpha,inf,1.5387392589011233,-0.26450744542544713
alpha,inf,1.5707963267948966,-0.017903550346264757
pvs_axial,inf,0.0005,0.0046127120279003744
pvs_axial,inf,0.0005510204081632653,0.04476575547563636
pvs_axial,inf,0.0006020408163265307,0.06436846494508303
pvs_axial,inf,0.0006530612244897959,0.0841230108215337
pvs_axial,inf,0.0007040816326530613,0.19688563451648994
pvs_axial,inf,0.0007551020408163266,0.0605307562296172
pvs_axial,inf,0.0008061224489795918,0.10780274942747367
pvs_axial,inf,0.0008571428571428571,0.05474305042304924
pvs_axial,inf,0.0009081632653061225,0.06117564582080931
pvs_axial,inf,0.0009591836734693879,0.04796042143682832
pvs_axial,inf,0.0010102040816326531,0.0323300947228188
pvs_axial,inf,0.0010612244897959184,0.04494624324339141
pvs_axial,inf,0.0011122448979591837,0.00953158588901755
pvs_axial,inf,0.0011632653061224491,-0.026672577875115525
pvs_axial,inf,0.0012142857142857142,0.02214312935543364
pvs_axial,inf,0.0012653061224489797,0.028948639271260346
pvs_axial,inf,0.001316326530612245,0.0016220685974211767
pvs_axial,inf,0.0013673469387755102,0.007794933540847479
pvs_axial,inf,0.0014183673469387757,-0.011809681220710064
pvs_axial,inf,0.0014693877551020407,0.02143977312475732
pvs_axial,inf,0.0015204081632653062,0.10796570371635258
pvs_axial,inf,0.0015714285714285715,-0.010847313664766496
pvs_axial,inf,0.0016224489795918368,0.006753339053839348
pvs_axial,inf,0.001673469387755102,-0.019306299663860032
pvs_axial,inf,0.0017244897959183673,0.0023947933017577218
pvs_axial,inf,0.0017755102040816328,-0.012910963360119123
pvs_axial,inf,0.001826530612244898,0.03811573874791219
pvs_axial,inf,0.0018775510204081633,0.030905816166441696
pvs_axial,inf,0.0019285714285714286,0.06175598485977644
pvs_axial,inf,0.001979591836734694,1.4800257771739327e-06
pvs_axial,inf,0.0020306122448979593,-0.02217273842020813
pvs_axial,inf,0.002081632653061225,-0.01612570206760466
pvs_axial,inf,0.00213265306122449,-0.10514390232434288
pvs_axial,inf,0.002183673469387755,-0.00420200697100491
pvs_axial,inf,0.0022346938775510204,-0.029778053717280383
pvs_axial,inf,0.002285714285714286,-0.054975155527550335
pvs_axial,inf,0.002336734693877551,-0.12478216889545428
pvs_axial,inf,0.0023877551020408164,-0.5452864676891234
pvs_axial,inf,0.002438775510204082,-0.0061456319073694065
pvs_axial,inf,0.002489795918367347,-0.03480852763444601
pvs_axial,inf,0.0025408163265306124,0.026367091329456076
pvs_axial,inf,0.0025918367346938775,-0.039254066999990414
pvs_axial,inf,0.002642857142857143,-0.020991569668979172
