Parameter,SNR,Value,Error
alpha,inf,0.0,-16.87058492642635
alpha,inf,0.0320570678937734,-16.93082695911896
alpha,inf,0.0641141357875468,-17.104121145780862
alpha,inf,0.0961712036813202,-17.389694606777407
alpha,inf,0.1282282715750936,-17.786254489677127
alpha,inf,0.16028533946886703,-18.29199496228992
alpha,inf,0.1923424073626404,-18.90460739884159
alpha,inf,0.2243994752564138,-19.621293703622616
alpha,inf,0.2564565431501872,-20.43878267964181
alpha,inf,0.2885136110439606,-21.353349310880233
alpha,inf,0.32057067893773405,-22.360836786616876
alpha,inf,0.3526277468315074,-23.456681056210904
alpha,inf,0.3846848147252808,-24.635937664216005
alpha,inf,0.4167418826190542,-25.893310580571733
alpha,inf,0.4487989505128276,-27.22318271082567
alpha,inf,0.48085601840660097,-28.61964774888044
alpha,inf,0.5129130863003744,-30.07654302142945
alpha,inf,0.5449701541941478,-31.587482970398913
alpha,inf,0.5770272220879212,-33.14589292802005
alpha,inf,0.6090842899816946,-34.74504285836992
alpha,inf,0.6411413578754681,-36.37808076813303
alpha,inf,0.6731984257692414,-38.03806552586384
alpha,inf,0.7052554936630148,-39.71799887048114
alpha,inf,0.7373125615567883,-41.410856433238955
alpha,inf,0.7693696294505616,-43.109617640377266
alpha,inf,0.801426697344335,-44.80729440402904
alpha,inf,0.8334837652381084,-46.49695854547405
alpha,inf,0.8655408331318818,-48.171767926858635
alpha,inf,0.8975979010256552,-49.824991294872206
alpha,inf,0.9296549689194287,-51.450031862549004
alpha,inf,0.9617120368132019,-53.040449673218625
alpha,inf,0.9937691047069754,-54.58998280335392
alpha,inf,1.0258261726007487,-56.09256746822253
alpha,inf,1.0578832404945222,-57.5423570954649
alpha,inf,1.0899403083882957,-58.933740426905366
alpha,inf,1.1219973762820692,-60.2613586984292
alpha,inf,1.1540544441758425,-61.520121932587166
alpha,inf,1.1861115120696157,-62.70522436022522
alpha,inf,1.2181685799633892,-63.812158967810596
alpha,inf,1.2502256478571625,-64.83673114832231
alpha,inf,1.2822827157509362,-65.77507141756912
alpha,inf,1.3143397836447095,-66.62364714615296
alpha,inf,1.3463968515384828,-67.3792732509697
alpha,inf,1.3784539194322563,-68.03912178939581
alpha,inf,1.4105109873260295,-68.60073040377318
alpha,inf,1.442568055219803,-69.06200957259833
alpha,inf,1.4746251231135765,-69.42124863677661
alpha,inf,1.5066821910073498,-69.67712058314035
alpha,inf,1.5387392589011233,-69.82868558192663
alpha,inf,1.5707963267948966,-69.87539328896621
pvs_axial,inf,0.0005,101.54663636188113
